last_name,n_incidents,predicted_nationality,confidence
sahu,28373,American,0.148144
monteiro,28301,Portuguese,0.367913
palmer,28297,American,0.386047
reynolds,28283,American,0.337656
takeuchi,28224,Japanese,0.943656
fonseca,28209,Portuguese,0.232466
gibson,28125,American,0.220317
hahn,28073,American,0.310492
ellis,27986,American,0.302591
fujii,27851,Japanese,0.331923
macdonald,27830,American,0.435218
diaz,27634,American,0.263788
cole,27621,American,0.345507
leung,27589,American,0.269991
gilbert,27489,American,0.322938
walter,27448,American,0.270532
schulz,27410,American,0.380143
roth,27360,American,0.36483
murakami,27330,Japanese,0.660265
siddiqui,27328,Indian,0.435296
reid,27251,American,0.539929
huber,27244,American,0.472636
rana,27224,American,0.160921
yilmaz,27139,American,0.3716
howard,27138,American,0.482632
ullah,27087,American,0.222469
sakamoto,27086,Japanese,0.644385
chaudhary,26881,Indian,0.656362
khalil,26853,Russian,0.288365
henderson,26751,American,0.295833
you,26742,Greek,0.211109
wallace,26738,American,0.354376
barnes,26727,American,0.156612
myers,26721,American,0.274226
mendes,26720,Portuguese,0.235814
aggarwal,26659,Indian,0.642496
ishii,26618,Japanese,0.262769
acharya,26520,Indian,0.360034
krishnan,26519,Indian,0.628718
henry,26499,French,0.161863
goto,26495,American,0.15196
ansari,26449,Iranian,0.16291
mccarthy,26443,American,0.321863
saleh,26425,Iranian,0.254912
richards,26421,American,0.263873
qiu,26380,Chinese,0.188943
cheung,26366,Chinese,0.468292
bansal,26321,Indian,0.110247
larsen,26263,Norwegian,0.43565
grant,26245,American,0.342263
jenkins,26244,American,0.31291
rehman,26240,Iranian,0.34893
powell,26236,American,0.434158
suh,26177,Korean,0.197266
qin,26108,American,0.376288
rashid,26079,American,0.254376
hayes,26011,American,0.171449
chapman,25985,American,0.223975
hosseini,25984,Iranian,0.672463
chao,25890,Thai,0.128215
srinivasan,25865,Tamil,0.340287
saxena,25830,Thai,0.112104
chandra,25781,Indian,0.345289
bai,25730,American,0.163468
hoffman,25725,American,0.317855
babu,25621,Nigerian,0.296719
nakajima,25609,Japanese,0.608652
armstrong,25597,American,0.239977
