first_name,n_incidents,predicted_nationality,confidence
stefanie,43751,American,0.277148
ingrid,43738,American,0.199487
mathieu,43668,French,0.677402
maximilian,43636,Armenian,0.197494
rainer,43545,American,0.433668
hanna,43480,Indian,0.232349
denise,43468,American,0.127487
hamid,43327,American,0.138072
joanne,43230,Indian,0.145408
jacques,43183,French,0.455458
pietro,43107,Italian,0.373159
svetlana,43087,Russian,0.098469
andrei,43053,Brazilian,0.315497
alfredo,43022,Brazilian,0.177841
jie,42997,Korean,0.201402
gianluca,42936,Italian,0.433091
tamara,42866,Indian,0.146203
arun,42757,American,0.208116
bernd,42672,German,0.272766
jesse,42317,American,0.221151
stefania,42302,Italian,0.226143
julio,42247,American,0.219023
diane,42199,American,0.21211
russell,42194,American,0.437214
marion,41995,American,0.208055
fabrizio,41914,Brazilian,0.194005
ashish,41776,Indian,0.258558
ajay,41753,American,0.274277
mostafa,41738,Iranian,0.139888
anil,41725,American,0.203085
sandeep,41697,Indian,0.533103
takuya,41371,Japanese,0.770279
olivia,41325,American,0.112782
anja,41205,Indian,0.190932
jeff,41203,American,0.473697
leslie,41162,American,0.270643
jill,41034,American,0.325909
vijay,40998,Indian,0.23827
takayuki,40921,Japanese,0.945749
ekaterina,40903,Russian,0.397383
khalid,40854,Russian,0.188741
tony,40723,American,0.327513
maciej,40694,American,0.309087
filippo,40505,Brazilian,0.124389
yuji,40476,Japanese,0.722159
vivek,40360,Russian,0.202651
susana,40356,Japanese,0.254166
koichi,40349,Japanese,0.734842
phillip,40348,American,0.29168
ying,40304,Chinese,0.360611
anastasia,40291,Greek,0.132562
sunil,40231,Korean,0.181949
yuri,40229,Japanese,0.360272
brett,39988,American,0.456988
angelo,39951,American,0.248505
ralph,39938,American,0.367124
bart,39795,American,0.266507
eugene,39763,American,0.192297
yasuhiro,39750,Japanese,0.936631
marcos,39562,Brazilian,0.217137
howard,39456,American,0.482632
ross,39444,American,0.431839
carsten,39402,American,0.229406
murat,39147,American,0.130417
manuela,39092,American,0.16312
masayuki,39054,Japanese,0.859209
cristian,38919,Romanian,0.186643
heidi,38898,American,0.166012
veronica,38817,Brazilian,0.160152
keisuke,38789,Japanese,0.843701
mathias,38661,Greek,0.185917
lucy,38617,American,0.529816
konstantin,38612,Russian,0.612871
masaki,38520,Japanese,0.572481
audrey,38476,American,0.329957
virginia,38473,Russian,0.20635
steffen,38419,German,0.302167
khaled,38135,Russian,0.109958
hao,38132,Chinese,0.148417
barry,38083,American,0.274081
santiago,38046,Indonesian,0.560943
holger,37953,American,0.228852
majid,37899,American,0.199915
harald,37821,American,0.358983
tetsuya,37796,Japanese,0.971848
lindsay,37770,American,0.17922
vera,37720,American,0.157675
